id,name,description,gid,cod_bairro,created_at,updated_at,population_2020
103,HORTO,HORTO,100,45,2019-08-03 16:09:51,2019-08-03 16:09:51,5889
104,MORADA DO SOL,MORADA DO SOL,101,50,2019-08-03 16:09:52,2019-08-03 16:09:52,6500
105,URUGUAI,URUGUAI,102,53,2019-08-03 16:09:52,2019-08-03 16:09:52,6500
106,SAMAPI,SAMAPI,103,98,2019-08-03 16:09:53,2019-08-03 16:09:53,10000
108,MORROS,MORROS,105,92,2019-08-03 16:09:54,2019-08-03 16:09:54,1400
109,SOCOPO,SOCOPO,106,97,2019-08-03 16:09:55,2019-08-03 16:09:55,1892
111,VERDE LAR,VERDE LAR,108,103,2019-08-03 16:09:56,2019-08-03 16:09:56,1612
112,PLANALTO,PLANALTO,109,44,2019-08-03 16:09:56,2019-08-03 16:09:56,6050
113,ALEGRE,ALEGRE,121,124,2019-08-03 16:09:56,2019-08-03 16:09:56,2500
115,CAMPESTRE,CAMPESTRE,111,91,2019-08-03 16:09:58,2019-08-03 16:09:58,4650
116,BOM JESUS,BOM JESUS,112,55,2019-08-03 16:09:59,2019-08-03 16:09:59,3800
117,PEDRA MOLE,PEDRA MOLE,113,94,2019-08-03 16:09:59,2019-08-03 16:09:59,15000
119,TABAJARAS,TABAJARAS,115,101,2019-08-03 16:10:00,2019-08-03 16:10:00,870
120,CIDADE JARDIM,CIDADE JARDIM,116,123,2019-08-03 16:10:00,2019-08-03 16:10:00,2000
121,PARQUE BRASIL,PARQUE BRASIL,117,128,2019-08-03 16:10:01,2019-08-03 16:10:01,13600
122,SANTA MARIA,SANTA MARIA,118,114,2019-08-03 16:10:01,2019-08-03 16:10:01,25000
41,LIVRAMENTO,LIVRAMENTO,40,82,2019-08-03 16:09:23,2019-08-03 16:09:23,100
85,PARQUE ALVORADA,PARQUE ALVORADA,83,14,2019-08-03 16:09:45,2019-08-03 16:09:45,5400
110,SANTA ROSA,SANTA ROSA,107,112,2019-08-03 16:09:55,2019-08-03 16:09:55,4878
2,ANGÉLICA,ANGÉLICA,1,118,2019-08-03 16:09:05,2019-08-03 16:09:05,5000
3,ESPLANADA,ESPLANADA,2,67,2019-08-03 16:09:05,2019-08-03 16:09:05,15000
4,ANGELIM,ANGELIM,3,62,2019-08-03 16:09:05,2019-08-03 16:09:05,30000
5,PARQUE JULIANA,PARQUE JULIANA,4,70,2019-08-03 16:09:05,2019-08-03 16:09:05,300
6,AREIAS,AREIAS,5,28,2019-08-03 16:09:05,2019-08-03 16:09:05,3400
7,PROMORAR,PROMORAR,6,72,2019-08-03 16:09:05,2019-08-03 16:09:05,17500
8,SANTO ANTÔNIO,SANTO ANTÔNIO,7,29,2019-08-03 16:09:06,2019-08-03 16:09:06,13000
14,PARQUE SÃO JOÃO,PARQUE SÃO JOÃO,13,71,2019-08-03 16:09:09,2019-08-03 16:09:09,2765
15,TRIUNFO,TRIUNFO,14,76,2019-08-03 16:09:09,2019-08-03 16:09:09,249
16,MORADA NOVA,MORADA NOVA,15,68,2019-08-03 16:09:09,2019-08-03 16:09:09,6104
17,TABULETA,TABULETA,16,26,2019-08-03 16:09:09,2019-08-03 16:09:09,3000
18,REDONDA,REDONDA,17,87,2019-08-03 16:09:10,2019-08-03 16:09:10,600
19,EXTREMA,EXTREMA,18,80,2019-08-03 16:09:10,2019-08-03 16:09:10,6000
20,CATARINA,CATARINA,19,65,2019-08-03 16:09:10,2019-08-03 16:09:10,1750
21,COMPRIDA,COMPRIDA,20,78,2019-08-03 16:09:11,2019-08-03 16:09:11,1800
22,SÃO PEDRO,SÃO PEDRO,21,25,2019-08-03 16:09:11,2019-08-03 16:09:11,8780
23,PIO XII,PIO XII,22,34,2019-08-03 16:09:12,2019-08-03 16:09:12,2395
24,VERDE CAP,VERDECAP,24,110,2019-08-03 16:09:13,2019-08-03 16:09:13,12000
48,JÓQUEI,JÓQUEI,47,41,2019-08-03 16:09:26,2019-08-03 16:09:26,6500
50,SÃO CRISTOVÃO,SÃO CRISTOVÃO,49,46,2019-08-03 16:09:27,2019-08-03 16:09:27,6500
52,MARQUÊS,MARQUÊS,51,16,2019-08-03 16:09:28,2019-08-03 16:09:28,3865
54,MORRO DA ESPERANÇA,MORRO DA ESPERANÇA,53,107,2019-08-03 16:09:29,2019-08-03 16:09:29,3344
55,FÁTIMA,FÁTIMA,54,42,2019-08-03 16:09:30,2019-08-03 16:09:30,10200
58,SÃO JOAQUIM,SÃO JOAQUIM,57,60,2019-08-03 16:09:31,2019-08-03 16:09:31,11000
64,NOVA BRASÍLIA,NOVA BRASÍLIA,63,5,2019-08-03 16:09:34,2019-08-03 16:09:34,6780
66,ÁGUA MINERAL,ÁGUA MINERAL,65,10,2019-08-03 16:09:36,2019-08-03 16:09:36,12300
70,OLARIAS,OLARIAS,69,58,2019-08-03 16:09:37,2019-08-03 16:09:37,1561
71,POTI VELHO,POTI VELHO,70,7,2019-08-03 16:09:38,2019-08-03 16:09:38,3730
72,AROEIRAS,AROEIRAS,122,90,2019-08-03 16:09:38,2019-08-03 16:09:38,6500
73,ALTO ALEGRE,ALTO ALEGRE,71,8,2019-08-03 16:09:39,2019-08-03 16:09:39,5400
74,BUENOS AIRES,BUENOS AIRES,72,9,2019-08-03 16:09:40,2019-08-03 16:09:40,7500
75,VILA SÃO FRANCISCO,VILA SÃO FRANCISCO,73,59,2019-08-03 16:09:40,2019-08-03 16:09:40,5300
77,VALE DO GAVIÃO,VALE DO GAVIÃO,75,102,2019-08-03 16:09:41,2019-08-03 16:09:41,6500
80,RENASCENÇA,RENASCENÇA,78,86,2019-08-03 16:09:43,2019-08-03 16:09:43,13000
82,SÃO RAIMUNDO,SÃO RAIMUNDO,80,48,2019-08-03 16:09:44,2019-08-03 16:09:44,800
83,BOM PRINCÍPIO,BOM PRINCÍPIO,81,111,2019-08-03 16:09:45,2019-08-03 16:09:45,3000
86,VILA OPERÁRIA,VILA OPERÁRIA,84,15,2019-08-03 16:09:46,2019-08-03 16:09:46,3173
89,TRÊS ANDARES,TRÊS ANDARES,87,38,2019-08-03 16:09:47,2019-08-03 16:09:47,13000
92,SÃO LOURENÇO,SÃO LOURENÇO,90,121,2019-08-03 16:09:48,2019-08-03 16:09:48,1000
97,REDENÇÃO,REDENÇÃO,95,33,2019-08-03 16:09:49,2019-08-03 16:09:49,3248
101,SÃO JOÃO,SÃO JOÃO,98,47,2019-08-03 16:09:50,2019-08-03 16:09:50,9000
107,SATÉLITE,SATÉLITE,104,52,2019-08-03 16:09:53,2019-08-03 16:09:53,13000
114,PIÇARREIRA,PIÇARREIRA,110,51,2019-08-03 16:09:57,2019-08-03 16:09:57,7381
118,ZOOBOTÂNICO,ZOOBOTÂNICO,114,105,2019-08-03 16:09:59,2019-08-03 16:09:59,500
123,CHAPADINHA,CHAPADINHA,119,116,2019-08-03 16:10:02,2019-08-03 16:10:02,1500
69,ÁRVORES VERDE,ÁRVORES VERDE,68,122,2019-08-03 16:09:37,2019-08-03 16:09:37,100
124,ZONA RURAL,ZONA RURAL,0,0,,,0
125,CERAMICA CIL,CERAMICA CIL,0,0,,,0
126,CHAPADINHA SUL,CHAPADINHA SUL,0,0,,,0
127,ESTRADA DA ALEGRIA,ESTRADA DA ALEGRIA,0,0,,,0
